,MOSTYPE,MAANTHUI,MGEMOMV,MGEMLEEF,MOSHOOFD,MGODRK,MGODPR,MGODOV,MGODGE,MRELGE,MRELSA,MRELOV,MFALLEEN,MFGEKIND,MFWEKIND,MOPLHOOG,MOPLMIDD,MOPLLAAG,MBERHOOG,MBERZELF,MBERBOER,MBERMIDD,MBERARBG,MBERARBO,MSKA,MSKB1,MSKB2,MSKC,MSKD,MHHUUR,MHKOOP,MAUT1,MAUT2,MAUT0,MZFONDS,MZPART,MINKM30,MINK3045,MINK4575,MINK7512,MINK123M,MINKGEM,MKOOPKLA,PWAPART,PWABEDR,PWALAND,PPERSAUT,PBESAUT,PMOTSCO,PVRAAUT,PAANHANG,PTRACTOR,PWERKT,PBROM,PLEVEN,PPERSONG,PGEZONG,PWAOREG,PBRAND,PZEILPL,PPLEZIER,PFIETS,PINBOED,PBYSTAND,AWAPART,AWABEDR,AWALAND,APERSAUT,ABESAUT,AMOTSCO,AVRAAUT,AAANHANG,ATRACTOR,AWERKT,ABROM,ALEVEN,APERSONG,AGEZONG,AWAOREG,ABRAND,AZEILPL,APLEZIER,AFIETS,AINBOED,ABYSTAND,Purchase
4487,33,1,3,3,8,1,5,1,3,7,1,2,2,3,5,2,4,4,3,1,2,2,2,1,3,2,3,3,1,3,6,6,2,1,5,4,3,2,3,2,1,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
3556,8,2,4,3,2,0,5,0,5,9,0,0,0,0,9,0,5,5,0,0,0,9,0,0,0,4,0,5,0,0,9,6,3,0,2,7,0,9,0,0,0,3,7,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes
4140,39,1,3,3,9,1,4,2,3,5,2,3,2,3,6,2,4,4,2,1,1,3,2,2,1,1,5,2,1,1,8,6,2,2,6,3,2,4,3,1,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
847,37,1,3,3,8,0,7,2,0,7,0,2,0,3,6,0,2,7,0,0,0,8,0,1,0,0,2,5,2,5,4,5,2,2,7,2,0,5,3,1,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2771,28,2,1,5,6,2,5,2,0,0,0,9,7,2,0,2,1,7,2,0,2,2,1,4,1,0,2,2,5,8,1,0,0,9,9,0,2,7,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
3140,30,1,2,4,7,0,9,0,0,5,0,4,4,2,3,0,3,6,0,0,2,0,3,5,2,0,0,5,3,0,9,3,2,4,7,2,5,0,4,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5396,9,1,2,3,3,0,4,0,5,3,0,6,3,0,6,3,2,4,3,0,0,3,2,2,0,3,5,2,0,9,0,7,0,2,7,2,6,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1633,33,1,4,3,8,0,3,2,4,8,0,1,1,1,8,2,2,5,2,0,0,3,4,1,2,2,0,6,1,1,8,8,1,0,6,3,3,5,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2093,11,1,3,3,3,0,8,0,1,9,0,0,0,4,5,0,4,5,3,1,2,2,2,1,2,1,4,3,0,3,6,6,2,1,5,4,0,0,7,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
4048,38,1,4,2,9,0,2,4,4,7,0,2,1,0,8,1,0,8,2,0,0,4,1,3,0,0,1,4,4,9,0,7,0,2,6,3,4,0,5,0,0,3,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
